PubMed ID,Bmap ID,Exp ID,cluster
17996464,7120379,3,5
17521924,7120380,1,4
17521924,7120380,2,4
17521924,7120380,3,1
17521924,7120380,4,4
17521924,7120380,5,1
17521924,7120380,6,3
17521924,7120380,7,1
16675403,7120381,1,1
16675403,7120381,2,1
16675403,7120381,3,1
16675403,7120381,4,1
16675403,7120381,5,1
16675403,7120381,6,1
16675403,7120381,7,1
16675403,7120381,8,3
16675403,7120381,9,3
16675403,7120381,10,1
16675403,7120381,11,1
16675403,7120381,12,3
12948722,7120382,1,5
12948722,7120382,2,5
12948722,7120382,3,3
12948722,7120382,4,3
12948722,7120382,5,5
12948722,7120382,6,5
12948722,7120382,7,2
12948722,7120382,8,2
17765572,7120387,1,2
17765572,7120387,2,4
17765572,7120387,3,2
17765572,7120387,4,4
17765572,7120387,5,1
17765572,7120387,6,3
17765572,7120387,7,4
15907305,8010002,1,2
17717184,8030079,1,5
17717184,8030079,2,4
17717184,8030079,3,5
17717184,8030079,4,5
17717184,8030079,5,5
17717184,8030079,6,4
17717184,8030079,7,4
17717184,8030079,8,3
17717184,8030079,9,5
17717184,8030079,10,5
17717184,8030079,11,5
17717184,8030079,12,1
17717184,8030079,13,5
17717184,8030079,14,1
17717184,8030079,15,4
17717184,8030079,16,5
17717184,8030079,17,2
15758183,8040106,1,1
17140674,8040107,1,5
17140674,8040107,2,1
17140674,8040107,3,5
17140674,8040107,4,1
17140674,8040107,5,3
17140674,8040107,6,4
17140674,8040107,7,1
17140674,8040107,8,3
17140674,8040107,9,3
17468751,8040108,1,1
17468751,8040108,2,1
17468751,8040108,3,1
17468751,8040108,4,1
17468751,8040108,5,4
17468751,8040108,6,2
17468751,8040108,7,1
17468751,8040108,8,1
10706432,8040109,1,3
10706432,8040109,2,2
15327927,8040110,1,2
15327927,8040110,2,1
15327927,8040110,3,1
17079666,8050114,1,5
17079666,8050114,2,5
17079666,8050114,3,5
17079666,8050114,4,2
17079666,8050114,5,2
17079666,8050114,6,2
17079666,8050114,7,5
17079666,8050114,8,2
17079666,8050114,9,2
17188518,8050119,1,2
17188518,8050119,2,5
12514228,8050124,1,3
12514228,8050124,2,2
12514228,8050124,3,5
9347486,8050125,1,2
9347486,8050125,2,5
9347486,8050125,3,1
9347486,8050125,4,5
9347486,8050125,5,5
9347486,8050125,6,4
9626713,8050126,1,4
9626713,8050126,2,5
9626713,8050126,3,4
15850746,8050127,1,1
15850746,8050127,4,1
15850746,8050127,6,1
15850746,8050127,9,1
15850746,8050127,10,1
15850746,8050127,11,2
15850746,8050127,12,3
15850746,8050127,13,1
15850746,8050127,14,3
15850746,8050127,15,2
17286837,8050129,1,1
17286837,8050129,2,5
11395019,8060139,1,1
11395019,8060139,2,3
11395019,8060139,3,1
11395019,8060139,4,2
17202543,8060143,4,5
14973239,8060144,1,4
14973239,8060144,2,2
14973239,8060144,3,3
14973239,8060144,4,2
17292631,8060147,1,2
17292631,8060147,2,2
11703464,8060148,1,4
11703464,8060148,2,4
11703464,8060148,3,4
12911764,8060149,4,3
11545466,8060150,1,4
11545466,8060150,2,4
11545466,8060150,3,4
15978024,8060152,1,1
15945130,8060153,1,1
15945130,8060153,2,1
15945130,8060153,3,1
15945130,8060153,4,4
15945130,8060153,5,2
15528079,8060156,1,5
15528079,8060156,2,5
17698371,8060158,1,5
17698371,8060158,2,5
17698371,8060158,3,2
17698371,8060158,4,3
17698371,8060158,5,1
9175118,8060161,1,4
16802856,8080186,1,5
16802856,8080186,2,5
16802856,8080186,3,4
16802856,8080186,4,5
16802856,8080186,5,2
16802856,8080186,6,1
16802856,8080186,7,4
16802856,8080186,8,1
16426719,8080187,1,2
16426719,8080187,2,2
16426719,8080187,3,4
16426719,8080187,4,3
16426719,8080187,5,3
16426719,8080187,6,4
16426719,8080187,7,2
15538191,9020049,1,1
19071223,9090090,1,1
19071223,9090090,2,3
19071223,9090090,3,3
19587291,9090093,1,2
19587291,9090093,2,4
19587291,9090093,3,4
19587291,9090093,4,4
19587291,9090093,5,3
19587291,9090093,6,2
19587291,9090093,7,2
19587291,9090093,8,5
19587291,9090093,9,2
15142963,9090095,1,2
15142963,9090095,2,5
19242558,9090103,1,1
19242558,9090103,2,1
19242558,9090103,3,1
19242558,9090103,4,1
19242558,9090103,5,1
19242558,9090103,6,1
18042401,9090105,1,5
18042401,9090105,2,1
18042401,9090105,3,2
18042401,9090105,4,2
19217383,9090108,1,1
19217383,9090108,2,4
19217383,9090108,3,4
19308261,9090110,1,4
19308261,9090110,2,3
19308261,9090110,3,3
19308261,9090110,4,4
19308261,9090110,5,2
19308261,9090110,6,1
19308261,9090110,7,3
17656073,9090112,5,2
17916330,9090126,5,1
17916330,9090126,6,4
17916330,9090126,7,1
17916330,9090126,8,3
19032746,9090127,1,4
19032746,9090127,2,3
19032746,9090127,3,4
19032746,9090127,4,3
19032746,9090127,5,4
19032746,9090127,6,5
19032746,9090127,7,2
19032746,9090127,8,3
19032746,9090127,9,3
19174537,9090155,1,1
19174537,9090155,2,4
17216152,9090158,1,3
17216152,9090158,2,1
19560123,9090164,1,1
19560123,9090164,3,1
19560123,9090164,5,1
19560123,9090164,12,5
15486304,9090167,1,1
15486304,9090167,2,2
18947356,9090168,7,3
18947356,9090168,8,3
19185567,9090169,1,4
19185567,9090169,2,2
19185567,9090169,3,5
19185567,9090169,4,2
19185567,9090169,5,3
16778890,10020011,1,5
16778890,10020011,2,5
16778890,10020011,3,2
16778890,10020011,4,1
18309087,10020012,1,1
11110834,10020013,1,1
11110834,10020013,2,3
11110834,10020013,3,1
18851716,10030016,1,1
18851716,10030016,3,1
18851716,10030016,5,4
18851716,10030016,6,3
18509047,10030019,1,3
16682235,10030026,1,3
17196537,10030041,1,1
17196537,10030041,2,5
17196537,10030041,3,5
12805551,10030060,1,2
19521264,10030066,1,1
12718866,10030092,1,4
12718866,10030092,2,4
15087550,10030094,1,1
15087550,10030094,2,1
15087550,10030094,3,1
15087550,10030094,4,1
15087550,10030094,5,1
17475790,10030096,1,1
17475790,10030096,2,1
17475790,10030096,3,4
17475790,10030096,4,1
18550593,10050100,1,5
18550593,10050100,2,4
18550593,10050100,3,1
18550593,10050100,4,3
18550593,10050100,5,2
18550593,10050100,6,5
18550593,10050100,7,3
16899731,10050101,1,5
16899731,10050101,2,1
16899731,10050101,3,5
16899731,10050101,4,2
16899731,10050101,5,2
17698008,10050102,1,2
17698008,10050102,2,5
17698008,10050102,4,5
17698008,10050102,6,5
17698008,10050102,7,2
18427116,10050103,1,5
18427116,10050103,2,3
18427116,10050103,3,5
18427116,10050103,4,1
16129404,10050107,1,1
16129404,10050107,2,2
16129404,10050107,3,1
16129404,10050107,4,2
16929307,10050110,1,1
16929307,10050110,2,2
16929307,10050110,3,3
16929307,10050110,4,1
16929307,10050110,5,2
19793875,10050113,1,1
19793875,10050113,2,4
19793875,10050113,3,1
19793875,10050113,4,5
18987206,10060117,1,2
18987206,10060117,2,2
18987206,10060117,3,1
18388729,10060120,1,1
18388729,10060120,2,1
18388729,10060120,3,1
19843618,10070128,1,4
19843618,10070128,2,4
19843618,10070128,3,3
19843618,10070128,4,4
19843618,10070128,5,1
19843618,10070128,6,5
19843618,10070128,7,2
19843618,10070128,8,2
19843618,10070128,9,2
16116457,10070129,1,1
16116457,10070129,2,1
16116457,10070129,3,4
16116457,10070129,4,5
16116457,10070129,5,5
16116457,10070129,6,3
16116457,10070129,7,4
16116457,10070129,8,2
16116457,10070129,9,3
16116457,10070129,10,5
16116457,10070129,11,2
16116457,10070129,12,2
11135651,10070131,1,5
11135651,10070131,2,5
11135651,10070131,3,3
11135651,10070131,4,2
11135651,10070131,5,2
11135651,10070131,6,5
11135651,10070131,7,3
11135651,10070131,8,5
11135651,10070131,9,3
18509023,10070138,1,5
18509023,10070138,2,5
18509023,10070138,3,1
17855612,10070140,1,5
17855612,10070140,2,5
17855612,10070140,3,4
17855612,10070140,4,3
17855612,10070140,5,4
17855612,10070140,6,3
20071521,10080164,1,5
20071521,10080164,2,1
20071521,10080164,3,3
20071521,10080164,4,2
20071521,10080164,5,1
19228976,10080170,1,1
19228976,10080170,2,4
17712267,10080188,1,1
18032658,10080201,1,4
18032658,10080201,2,4
18032658,10080201,3,5
18032658,10080201,4,3
18579749,10080207,1,5
18579749,10080207,2,5
19490086,10080209,1,3
19490086,10080209,2,1
19490086,10080209,3,3
19490086,10080209,4,1
19490086,10080209,5,4
19490086,10080209,6,5
19805082,10080212,1,3
19805082,10080212,2,4
19805082,10080212,3,3
19805082,10080212,4,2
19805082,10080212,5,2
19805082,10080212,6,4
17676057,10100217,1,4
17676057,10100217,2,1
19812332,10100219,1,2
19812332,10100219,2,2
11239442,10100220,1,2
11239442,10100220,2,2
11239442,10100220,3,4
10215087,10100221,1,2
10215087,10100221,2,5
10215087,10100221,3,5
10215087,10100221,4,5
19407204,10100222,1,5
19407204,10100222,2,4
19407204,10100222,3,2
19407204,10100222,4,5
18787233,10100223,1,5
18787233,10100223,2,5
18787233,10100223,3,2
18787233,10100223,4,2
18787233,10100223,5,4
11133312,10100224,1,2
11133312,10100224,2,3
11133312,10100224,3,3
11133312,10100224,4,5
12948701,10100225,1,2
12948701,10100225,2,3
18337404,10100226,1,2
18337404,10100226,2,3
18337404,10100226,3,2
18582578,10100227,1,4
18582578,10100227,2,2
18582578,10100227,3,4
18582578,10100227,4,2
18582578,10100227,5,4
18582578,10100227,6,2
18582578,10100227,7,4
10516320,10100228,1,2
10516320,10100228,2,5
10516320,10100228,3,2
10516320,10100228,4,5
10516320,10100228,5,2
10516320,10100228,6,3
10516320,10100228,7,3
10516320,10100228,8,2
18842669,10100229,1,4
18842669,10100229,2,1
18842669,10100229,3,4
18842669,10100229,4,1
18842669,10100229,5,5
18842669,10100229,6,3
19770058,11010012,1,5
19770058,11010012,2,2
19770058,11010012,3,2
19770058,11010012,4,3
19770058,11010012,5,3
19726640,11010014,1,4
19726640,11010014,2,4
20016088,11010021,1,1
20016088,11010021,2,5
20016088,11010021,3,2
20016088,11010021,4,2
20016088,11010021,5,1
20016088,11010021,6,5
20016088,11010021,7,2
20016088,11010021,8,3
20016088,11010021,9,4
20016088,11010021,10,2
20016088,11010021,11,1
20016088,11010021,12,4
19718655,11010027,1,4
19718655,11010027,2,1
19718655,11010027,3,4
17997112,11030034,1,3
17997112,11030034,2,3
17997112,11030034,3,2
17997112,11030034,4,4
17997112,11030034,5,3
18793731,11030035,1,5
18793731,11030035,2,5
18793731,11030035,3,1
18793731,11030035,4,2
18793731,11030035,5,5
18793731,11030035,6,3
18793731,11030035,7,3
18793731,11030035,8,3
19515916,11030036,1,2
19515916,11030036,2,2
19515916,11030036,3,2
19515916,11030036,4,2
17950474,11030037,1,4
15907318,11030038,1,1
15907318,11030038,2,2
15907318,11030038,3,2
15907318,11030038,4,5
15907318,11030038,5,1
15907318,11030038,6,3
15907318,11030038,7,2
15907318,11030038,8,2
19961940,11080056,1,3
19961940,11080056,2,3
19961940,11080056,3,3
19961940,11080056,4,1
19524531,11080057,1,5
19524531,11080057,2,2
20589242,11080058,1,3
20589242,11080058,2,2
20589242,11080058,3,5
19793990,11080059,1,5
19793990,11080059,2,5
19793990,11080059,3,3
19793990,11080059,4,5
16033924,11080063,1,2
16033924,11080063,2,2
16033924,11080063,3,1
16033924,11080063,4,2
16033924,11080063,5,4
16033924,11080063,6,2
19576868,11080064,1,4
19576868,11080064,2,5
19576868,11080064,3,4
19576868,11080064,4,4
19576868,11080064,5,1
19047075,11080065,1,4
19047075,11080065,2,3
19047075,11080065,3,2
19047075,11080065,4,5
19047075,11080065,5,1
19047075,11080065,6,3
19047075,11080065,7,2
20357071,11080068,1,2
20357071,11080068,2,2
20357071,11080068,3,2
20357071,11080068,4,5
20357071,11080068,5,2
20357071,11080068,6,2
20357071,11080068,7,1
20600994,11080071,1,4
20357127,11080072,2,4
20105435,11080073,1,2
20105435,11080073,2,5
20105435,11080073,3,2
20105435,11080073,4,5
20105435,11080073,5,5
16339445,11080074,1,3
16339445,11080074,2,4
16339445,11080074,3,1
16339445,11080074,4,3
16339445,11080074,5,4
16339445,11080074,6,4
17007234,11080075,1,4
17007234,11080075,2,2
17007234,11080075,3,1
17007234,11080075,4,5
20510371,11080076,1,2
20510371,11080076,2,5
20231475,11080077,1,1
20231475,11080077,2,5
18549791,11080078,1,2
18549791,11080078,2,2
18549791,11080078,3,1
18549791,11080078,4,3
18549791,11080078,5,3
18549791,11080078,6,1
18549791,11080078,7,2
18549791,11080078,8,5
18549791,11080078,9,2
18549791,11080078,10,3
18549791,11080078,11,5
18549791,11080078,12,4
18549791,11080078,13,3
18549791,11080078,14,5
18549791,11080078,15,3
18549791,11080078,16,2
18549791,11080078,17,2
18549791,11080078,18,3
18549791,11080078,19,2
18549791,11080078,20,3
18549791,11080078,21,2
18549791,11080078,22,5
18549791,11080078,23,5
18320179,11080079,1,2
18320179,11080079,2,2
19015090,11080080,1,3
19015090,11080080,2,4
15486494,11080081,1,3
15486494,11080081,2,1
19864559,11080083,1,5
19864559,11080083,2,1
19864559,11080083,3,3
19864559,11080083,4,3
19864559,11080083,5,5
19864559,11080083,6,5
19864559,11080083,7,1
19864559,11080083,8,1
20399735,11080084,1,5
20399735,11080084,2,1
20399735,11080084,3,3
20399735,11080084,4,3
20399735,11080084,5,2
20399735,11080084,6,3
20399735,11080085,1,2
18399882,11080086,1,1
18097655,11080086,2,1
18097655,11080086,4,1
18097655,11080086,5,1
18097655,11080087,1,2
20164333,11080087,2,5
20164333,11080087,3,5
20164333,11080087,4,5
20164333,11080087,5,5
20164333,11080087,6,1
20164333,11080088,1,3
18804540,11080088,2,2
18804540,11080088,3,2
18804540,11080089,1,2
19477159,11080089,2,2
19477159,11080089,3,2
19477159,11080089,4,1
19477159,11080090,1,2
18710652,11080090,2,1
18710652,11080090,3,2
18710652,11080090,4,3
18710652,11080090,5,3
18710652,11080091,1,5
19307555,11080091,2,5
19307555,11080091,3,4
19307555,11080093,1,2
20600178,11080093,2,3
20600178,11080093,3,2
20600178,11080094,1,2
16574168,11080094,2,4
16574168,11080094,3,5
16574168,11080094,4,3
16574168,11080094,5,2
16574168,11080094,6,2
16574168,11080094,7,5
16574168,11080094,8,4
16574168,11110114,1,2
21389226,11110114,2,2
21389226,11110114,3,4
21389226,11110114,4,5
21389226,11110114,5,2
21389226,11110115,8,4
19349237,12040022,1,5
21612768,12040022,2,5
21612768,12040022,3,5
21612768,12040022,4,3
21612768,12040029,1,1
22338036,12040029,2,2
22338036,12050046,6,4
20138482,12050046,8,1
20138482,12100064,1,2
18985124,12100064,2,2
18985124,12100078,4,2
17655834,13040033,1,1
18445214,13040033,2,5
18445214,13040034,1,2
19783412,13040034,2,2
19783412,13060042,1,1
18439412,13060042,2,4
18439412,13060042,3,4
18439412,13060042,4,3
14100235,14120260,3,3
19640506,15070089,7,1
22336565,15070089,8,3
22336565,15070089,9,3
22336565,15070089,10,3
22336565,15070089,11,3
22336565,15070089,12,3
22336565,15070089,13,3
22336565,15070089,14,3
22336565,15070089,15,3
22336565,15070089,16,5
22336565,15070089,17,2
22336565,15070089,18,5
18439412,18597797,3,3
